source,target,type,confidence,description
疾病_0,症状_4,相关症状,1.0,糖尿病的典型症状包括多饮
疾病_0,症状_5,相关症状,1.0,糖尿病的典型症状包括多食
疾病_0,症状_6,相关症状,1.0,糖尿病的典型症状包括多尿
疾病_0,症状_7,相关症状,1.0,糖尿病的典型症状包括体重减轻
疾病_0,药物_8,治疗药物,0.95,胰岛素是用于治疗糖尿病的一种药物，通过调节血糖水平来控制病情。
疾病_0,药物_9,治疗药物,0.95,二甲双胍是一种常用于治疗2型糖尿病的药物，通过降低肝脏糖原的分解和增加肌肉对葡萄糖的敏感性来控制血糖水平。
疾病_0,并发症_10,导致,1.0,糖尿病可能导致糖尿病视网膜病变
疾病_0,并发症_11,导致,1.0,糖尿病可能导致糖尿病肾病
疾病_0,并发症_12,导致,1.0,糖尿病可能导致糖尿病神经病变
疾病_0,并发症_13,导致,1.0,糖尿病可能导致糖尿病足
疾病_0,解剖部位_14,影响,0.9,糖尿病影响胰岛β细胞的功能，导致胰岛素分泌不足或完全缺失。
疾病_0,检查项目_15,检查手段,0.95,血糖检测是用于监测糖尿病患者血糖水平的一种常见检查手段。
疾病_0,检查项目_16,检查手段,0.95,糖化血红蛋白检测是用于评估糖尿病患者长期血糖控制情况的一种检查手段。
疾病_0,治疗方法_17,治疗,0.95,饮食控制是糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_0,治疗方法_18,治疗,0.9,运动治疗可以作为糖尿病的一种非药物治疗方法，帮助控制血糖水平。
疾病_0,病因_19,导致,0.9,胰岛素抵抗是糖尿病的一个重要病因，它导致身体对胰岛素的反应减弱，进而可能引发糖尿病。
疾病_1,症状_4,表现为,0.9,1型糖尿病常表现为多饮症状
疾病_1,症状_5,相关症状,0.9,1型糖尿病患者由于胰岛素缺乏，导致葡萄糖无法有效被细胞利用，身体能量供应不足，从而引发多食症状。
疾病_1,症状_6,表现为,0.95,1型糖尿病的一个常见症状是多尿，这是由于高血糖导致肾脏过滤过多的葡萄糖，进而增加尿量。
疾病_1,症状_7,表现为,0.9,1型糖尿病可能导致体重减轻，因为身体无法有效利用葡萄糖作为能量来源，转而分解脂肪和肌肉组织。
疾病_1,药物_8,治疗药物,1.0,胰岛素是1型糖尿病的主要治疗药物，用于调节血糖水平。
疾病_1,药物_9,可用药物,0.7,二甲双胍是一种口服降糖药，虽然主要用于治疗2型糖尿病，但在某些情况下也可用于1型糖尿病患者，尤其是那些伴有胰岛素抵抗的患者。
疾病_1,并发症_10,导致,0.95,1型糖尿病长期未得到有效控制可能导致糖尿病视网膜病变，这是一种常见的糖尿病并发症。
疾病_1,并发症_11,导致,0.9,1型糖尿病长期未得到有效控制可能导致糖尿病肾病
疾病_1,并发症_12,导致,0.9,1型糖尿病长期血糖控制不佳可能导致糖尿病神经病变
疾病_1,并发症_13,导致,0.9,1型糖尿病可能导致糖尿病足，这是一种常见的并发症，由于长期高血糖损害神经和血管，导致足部感染和溃疡。
疾病_1,解剖部位_14,影响,0.95,1型糖尿病是由于胰岛β细胞被自身免疫系统破坏，导致胰岛素分泌不足而引起的疾病。
疾病_1,检查项目_15,检查手段,0.95,血糖检测是用于监测1型糖尿病患者血糖水平的重要检查手段。
疾病_1,检查项目_16,检查手段,0.95,糖化血红蛋白检测用于评估1型糖尿病患者的长期血糖控制情况。
疾病_1,治疗方法_17,治疗,0.8,饮食控制是管理1型糖尿病的一种方法，通过调节饮食来控制血糖水平。
疾病_1,治疗方法_18,治疗,0.8,运动治疗可以作为1型糖尿病的一种辅助治疗方法，帮助控制血糖水平。
疾病_2,症状_4,表现为,0.95,2型糖尿病患者常表现为多饮症状，这是由于高血糖导致体内水分丢失增多，引发口渴感增强。
疾病_2,症状_5,相关症状,0.9,多食是2型糖尿病的常见症状之一，由于胰岛素抵抗或胰岛素分泌不足导致血糖利用障碍，患者常感到饥饿。
疾病_2,症状_6,表现为,0.95,2型糖尿病患者常表现为多尿症状，这是由于高血糖导致肾脏过滤过多的葡萄糖，进而增加尿量。
疾病_2,症状_7,表现为,0.9,2型糖尿病可能导致体重减轻，这是由于体内胰岛素不足或抵抗，导致身体无法有效利用葡萄糖作为能量来源，转而分解脂肪和肌肉组织。
疾病_2,药物_8,治疗药物,0.9,胰岛素用于治疗2型糖尿病，帮助控制血糖水平。
疾病_2,药物_9,治疗药物,0.95,二甲双胍是用于治疗2型糖尿病的常用药物，通过降低肝糖原的生成和增加胰岛素敏感性来控制血糖水平。
疾病_2,并发症_10,导致,0.95,2型糖尿病可以导致糖尿病视网膜病变，这是一种由于长期高血糖水平引起的视网膜血管损伤。
疾病_2,并发症_11,导致,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病肾病的发生。
疾病_2,并发症_12,导致,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病神经病变，这是一种常见的糖尿病并发症。
疾病_2,并发症_13,引起,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病足的发生。
疾病_2,解剖部位_14,影响,0.95,2型糖尿病会影响胰岛β细胞的功能，导致胰岛素分泌不足或胰岛素抵抗。
疾病_2,检查项目_15,检查手段,0.95,血糖检测是用于监测和诊断2型糖尿病的一种常见检查手段。
疾病_2,检查项目_16,检查手段,0.95,糖化血红蛋白检测用于评估2型糖尿病患者的长期血糖控制情况。
疾病_2,治疗方法_17,治疗,0.9,饮食控制是2型糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_2,治疗方法_18,治疗,0.9,运动治疗被广泛推荐作为2型糖尿病的管理和治疗方法之一，有助于改善血糖控制和整体健康。
疾病_2,病因_19,导致,0.95,胰岛素抵抗是2型糖尿病的主要病因之一，它导致身体对胰岛素的反应减弱，进而引发血糖水平升高。
疾病_3,症状_4,相关症状,0.85,妊娠糖尿病可能导致多饮症状，因为高血糖水平会促使身体试图通过增加尿液排出多余的糖分，从而导致口渴和多饮。
疾病_3,症状_5,相关症状,0.8,妊娠糖尿病可能导致多食作为其症状之一。
疾病_3,症状_6,表现为,0.9,妊娠糖尿病可能导致多尿症状
疾病_3,症状_7,相关症状,0.7,妊娠糖尿病可能导致体重减轻，尽管这种情况较为少见，但在某些情况下，由于胰岛素抵抗和代谢变化，患者可能会出现体重减轻的症状。
疾病_3,药物_8,治疗药物,0.9,胰岛素可用于治疗妊娠糖尿病，帮助控制血糖水平。
疾病_3,药物_9,治疗药物,0.85,二甲双胍可用于治疗妊娠糖尿病，尤其是在饮食和运动控制不佳时。
疾病_3,并发症_10,引起,0.85,妊娠糖尿病如果未能得到有效控制，长期高血糖状态可能导致糖尿病视网膜病变，这是一种糖尿病的并发症。
疾病_3,并发症_12,引起,0.85,妊娠糖尿病如果未能得到有效控制，长期高血糖状态可能导致糖尿病神经病变。
疾病_3,解剖部位_14,影响,0.85,妊娠糖尿病可能影响胰岛β细胞的功能，导致胰岛素分泌不足或胰岛素抵抗。
疾病_3,检查项目_15,检查手段,0.95,血糖检测是用于诊断和监测妊娠糖尿病的一种常见检查手段。
疾病_3,检查项目_16,检查手段,0.8,糖化血红蛋白检测可用于监测妊娠糖尿病患者的血糖控制情况，但通常不作为诊断妊娠糖尿病的首选方法。
疾病_3,治疗方法_17,治疗,0.95,饮食控制是妊娠糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_3,治疗方法_18,治疗,0.8,运动治疗可以作为妊娠糖尿病的一种非药物治疗方法，帮助控制血糖水平。
疾病_3,病因_19,引起,0.9,胰岛素抵抗是妊娠糖尿病的一个重要病因，它导致身体对胰岛素的反应减弱，从而引起血糖水平升高。
症状_4,药物_8,关联,0.8,多饮可能是糖尿病的症状之一，而胰岛素是用于治疗糖尿病的药物，因此多饮与胰岛素之间存在间接关联。
症状_4,药物_9,关联,0.8,二甲双胍是一种用于治疗2型糖尿病的药物，而多饮（即频繁饮水）是糖尿病的常见症状之一。因此，二甲双胍可能通过控制血糖水平间接影响多饮症状。
症状_4,并发症_10,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病视网膜病变是糖尿病的并发症。因此，多饮与糖尿病视网膜病变通过糖尿病这一共同因素间接关联。
症状_4,并发症_11,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病肾病是糖尿病的一种并发症。因此，多饮与糖尿病肾病之间存在间接关联，通过糖尿病这一中介。
症状_4,并发症_12,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病神经病变是糖尿病的并发症。因此，多饮与糖尿病神经病变通过糖尿病这一共同点间接关联。
症状_4,并发症_13,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病足是糖尿病的一种严重并发症。因此，多饮与糖尿病足之间存在间接关联，通过糖尿病这一共同因素联系起来。
症状_4,解剖部位_14,关联,0.85,多饮可能是由于胰岛β细胞功能异常导致的糖尿病症状之一，胰岛β细胞负责分泌胰岛素，胰岛素不足或作用受阻会导致血糖升高，进而引起多饮。
症状_4,检查项目_15,关联,0.9,多饮可能是糖尿病的症状之一，而血糖检测是诊断糖尿病的重要检查项目。因此，多饮与血糖检测之间存在关联。
症状_4,检查项目_16,关联,0.8,多饮可能是糖尿病的症状之一，而糖化血红蛋白检测是用于评估长期血糖控制情况的检查项目，因此两者之间存在间接关联。
症状_4,治疗方法_17,相关,0.8,多饮作为症状可能与糖尿病等疾病相关，饮食控制是管理这些疾病的一种治疗方法，因此多饮与饮食控制之间存在相关性。
症状_4,治疗方法_18,关联,0.7,多饮可能是糖尿病的症状之一，而运动治疗是糖尿病管理的一部分，可以帮助控制血糖水平，从而间接影响多饮症状。
症状_4,病因_19,关联,0.8,多饮可能是胰岛素抵抗的一个症状，因为胰岛素抵抗会导致血糖水平升高，进而引起口渴和多饮。
症状_5,药物_8,关联,0.8,多食可能是糖尿病的症状之一，而胰岛素是用于治疗糖尿病的药物，因此多食与胰岛素之间存在间接关联。
症状_5,药物_9,关联,0.7,二甲双胍是一种用于治疗2型糖尿病的药物，可能通过减少肝脏糖的产生和增加肌肉对糖的敏感性来帮助控制血糖水平。多食可能是糖尿病的一个症状，因此二甲双胍可能间接地与多食有关联，通过控制血糖水平来减少多食的症状。
症状_5,并发症_10,关联,0.7,多食作为糖尿病的一个常见症状，与糖尿病视网膜病变这一糖尿病并发症之间存在间接关联。多食可能导致血糖控制不佳，长期高血糖是糖尿病视网膜病变的主要风险因素。
症状_5,并发症_11,关联,0.8,多食是糖尿病的常见症状之一，而糖尿病肾病是糖尿病的一种并发症。因此，多食与糖尿病肾病之间存在间接关联，通过糖尿病这一中介。
症状_5,并发症_12,关联,0.8,多食可能是糖尿病的一个症状，而糖尿病神经病变是糖尿病的并发症，因此多食与糖尿病神经病变之间存在间接关联。
症状_5,并发症_13,关联,0.8,多食作为糖尿病的常见症状之一，可能导致血糖控制不佳，长期高血糖是糖尿病足发生的重要风险因素。
症状_5,解剖部位_14,关联,0.8,多食可能与胰岛β细胞功能异常有关，如胰岛β细胞分泌胰岛素不足或功能障碍，导致血糖调节异常，进而引发多食症状。
症状_5,检查项目_15,相关,0.9,多食可能是糖尿病的症状之一，而血糖检测是诊断糖尿病的重要检查项目。因此，多食与血糖检测之间存在相关性。
症状_5,检查项目_16,关联,0.8,多食可能是糖尿病的症状之一，而糖化血红蛋白检测是用于评估长期血糖控制情况的检查项目，因此多食与糖化血红蛋白检测之间存在间接关联。
症状_5,治疗方法_17,相关,0.9,多食作为一种症状，可以通过饮食控制这一治疗方法来管理和改善。
症状_5,治疗方法_18,关联,0.7,多食可能导致体重增加，运动治疗可以帮助控制体重，从而间接关联到多食的管理。
症状_5,病因_19,关联,0.8,多食可能是胰岛素抵抗的一个症状，因为胰岛素抵抗会导致血糖水平升高，进而增加饥饿感和食欲。
症状_6,药物_8,关联,0.8,多尿可能是糖尿病的症状之一，而胰岛素是用于治疗糖尿病的药物。因此，多尿与胰岛素之间存在间接关联。
症状_6,药物_9,关联,0.8,二甲双胍是一种用于治疗2型糖尿病的药物，而多尿是糖尿病的一个常见症状。因此，二甲双胍可能通过控制血糖水平间接影响多尿症状。
症状_6,并发症_10,关联,0.8,多尿是糖尿病的常见症状之一，而糖尿病视网膜病变是糖尿病的并发症之一。因此，多尿与糖尿病视网膜病变通过糖尿病这一共同病因间接关联。
症状_6,并发症_11,关联,0.9,多尿是糖尿病肾病的一个常见症状，由于肾脏过滤功能受损导致尿量增多。
症状_6,并发症_12,关联,0.8,多尿是糖尿病的常见症状之一，而糖尿病神经病变是糖尿病的并发症之一。因此，多尿与糖尿病神经病变通过糖尿病这一共同因素间接关联。
症状_6,并发症_13,关联,0.8,多尿是糖尿病的常见症状之一，而糖尿病足是糖尿病的一种并发症。因此，多尿与糖尿病足之间存在间接关联，通过糖尿病这一共同因素联系起来。
症状_6,解剖部位_14,关联,0.85,多尿可能是由于胰岛β细胞功能异常导致的糖尿病症状之一，胰岛β细胞负责分泌胰岛素，胰岛素不足或作用受阻会导致血糖升高，进而引起多尿。
症状_6,检查项目_15,相关,0.9,多尿可能是糖尿病的症状之一，而血糖检测是诊断糖尿病的重要检查项目。因此，多尿与血糖检测之间存在相关性。
症状_6,检查项目_16,关联,0.85,多尿可能是糖尿病的症状之一，而糖化血红蛋白检测是用于诊断和监测糖尿病的重要检查项目。
症状_6,治疗方法_17,相关,0.8,饮食控制可以通过调整水分和电解质的摄入来影响多尿症状，尤其是在糖尿病等疾病中。
症状_6,病因_19,关联,0.8,多尿可能是胰岛素抵抗的一个症状，因为胰岛素抵抗会导致血糖水平升高，进而引起多尿。
症状_7,药物_8,关联,0.7,胰岛素是一种用于治疗糖尿病的药物，而体重减轻可能是糖尿病的一个症状。因此，胰岛素的使用可能与体重减轻有关联。
症状_7,药物_9,关联,0.8,二甲双胍是一种用于治疗2型糖尿病的药物，其副作用可能包括体重减轻。因此，体重减轻可能与使用二甲双胍有关。
症状_7,并发症_11,关联,0.7,体重减轻可能是糖尿病肾病的一个症状，因为糖尿病肾病会导致肾功能损害，进而影响身体的代谢和营养吸收，可能导致体重减轻。
症状_7,并发症_12,关联,0.7,体重减轻可能是糖尿病神经病变的一个间接症状，因为糖尿病神经病变可能导致消化系统功能紊乱，进而影响营养吸收和体重。
症状_7,并发症_13,关联,0.7,体重减轻可能是糖尿病的一个症状，而糖尿病足是糖尿病的一种并发症。因此，体重减轻与糖尿病足之间存在间接关联，通过糖尿病这一共同因素联系起来。
症状_7,解剖部位_14,关联,0.8,胰岛β细胞功能障碍可能导致糖尿病，而糖尿病的一个常见症状是体重减轻。
症状_7,检查项目_15,关联,0.8,体重减轻可能是糖尿病的症状之一，而血糖检测是诊断糖尿病的重要检查项目。因此，体重减轻与血糖检测之间存在间接关联。
症状_7,检查项目_16,关联,0.8,体重减轻可能是糖尿病的症状之一，而糖化血红蛋白检测是用于诊断和监测糖尿病的重要检查项目。因此，体重减轻与糖化血红蛋白检测之间存在间接关联。
症状_7,治疗方法_17,相关,0.9,体重减轻可能是饮食控制的结果，因为饮食控制通过限制热量摄入来达到减轻体重的目的。
症状_7,治疗方法_18,相关,0.8,运动治疗可以通过增加能量消耗和促进脂肪燃烧来帮助体重减轻。
症状_7,病因_19,关联,0.7,体重减轻可能是胰岛素抵抗的一个症状，因为胰岛素抵抗可能导致身体无法有效利用葡萄糖，从而影响能量代谢和体重。
药物_8,并发症_10,关联,0.8,胰岛素是用于治疗糖尿病的药物，而糖尿病视网膜病变是糖尿病的一种并发症。因此，胰岛素的使用与糖尿病视网膜病变的发生和发展存在间接关联。
药物_8,并发症_11,相关,0.9,胰岛素是用于治疗糖尿病的主要药物之一，通过控制血糖水平来预防或延缓糖尿病肾病的发生和发展。
药物_8,并发症_12,相关,0.95,胰岛素是用于治疗糖尿病的主要药物之一，通过控制血糖水平来预防或延缓糖尿病神经病变等并发症的发生。
药物_8,并发症_13,关联,0.8,胰岛素是用于治疗糖尿病的一种药物，而糖尿病足是糖尿病的一种并发症。胰岛素的使用可以帮助控制血糖水平，从而间接减少糖尿病足的发生风险。
药物_8,解剖部位_14,作用于,1.0,胰岛素是由胰岛β细胞分泌的激素，用于调节血糖水平。
药物_8,检查项目_15,相关,0.95,胰岛素是一种用于调节血糖水平的药物，而血糖检测是用于测量血液中葡萄糖水平的检查项目。胰岛素的使用会影响血糖水平，因此需要通过血糖检测来监测其效果。
药物_8,检查项目_16,相关,0.95,胰岛素是一种用于控制血糖的药物，而糖化血红蛋白检测是评估长期血糖控制情况的检查项目。因此，胰岛素的使用会影响糖化血红蛋白检测的结果。
药物_8,治疗方法_17,相关,0.95,胰岛素和饮食控制都是糖尿病管理中的重要组成部分，胰岛素用于调节血糖水平，而饮食控制有助于维持血糖稳定，减少胰岛素的需求。
药物_8,治疗方法_18,相关,0.9,胰岛素和运动治疗在糖尿病管理中常常结合使用，运动可以提高身体对胰岛素的敏感性，从而帮助控制血糖水平。
药物_8,病因_19,关联,0.95,胰岛素是一种用于治疗糖尿病的药物，而胰岛素抵抗是指身体对胰岛素的反应减弱，导致血糖控制不佳。胰岛素抵抗是2型糖尿病的主要病因之一，因此胰岛素与胰岛素抵抗之间存在关联。
药物_9,并发症_10,相关,0.85,二甲双胍是一种用于治疗2型糖尿病的药物，通过改善血糖控制可能间接影响糖尿病视网膜病变的进展。
药物_9,并发症_11,相关,0.85,二甲双胍是一种常用于治疗2型糖尿病的药物，而糖尿病肾病是糖尿病的一种并发症。通过控制血糖水平，二甲双胍可以间接帮助预防或延缓糖尿病肾病的进展。
药物_9,并发症_12,相关,0.85,二甲双胍是一种常用于治疗2型糖尿病的药物，通过改善血糖控制可能间接减少糖尿病神经病变的风险。
药物_9,并发症_13,相关,0.85,二甲双胍是一种常用于治疗2型糖尿病的药物，通过改善血糖控制可能间接减少糖尿病足等糖尿病并发症的风险。
药物_9,解剖部位_14,作用于,0.9,二甲双胍通过减少肝脏糖原的分解和增加肌肉组织对葡萄糖的摄取来降低血糖水平，间接保护胰岛β细胞免受高血糖的损害。
药物_9,检查项目_15,相关,0.9,二甲双胍是一种用于治疗2型糖尿病的药物，通过降低肝脏糖原的分解和减少肠道对糖的吸收来降低血糖水平。血糖检测是监测血糖水平的一种检查方法，用于评估二甲双胍的治疗效果和糖尿病的管理。
药物_9,检查项目_16,相关,0.9,二甲双胍是一种用于治疗2型糖尿病的药物，通过降低血糖水平来发挥作用。糖化血红蛋白检测是一种用于评估长期血糖控制的检查项目，可以反映过去2-3个月的平均血糖水平。因此，二甲双胍的使用可能会影响糖化血红蛋白检测的结果。
药物_9,治疗方法_17,相关,0.9,二甲双胍是一种用于治疗2型糖尿病的药物，而饮食控制是管理糖尿病的重要治疗方法之一。两者在糖尿病治疗中可以相互补充，共同帮助控制血糖水平。
药物_9,治疗方法_18,相关,0.9,二甲双胍和运动治疗都是2型糖尿病管理的常用方法，可以单独或联合使用以改善血糖控制。
药物_9,病因_19,相关,0.9,二甲双胍是一种用于治疗2型糖尿病的药物，它通过改善胰岛素敏感性来减少胰岛素抵抗。
并发症_10,解剖部位_14,关联,0.8,糖尿病视网膜病变是糖尿病的并发症，而胰岛β细胞的功能障碍是糖尿病的主要原因之一。因此，胰岛β细胞的功能状态间接影响糖尿病视网膜病变的发生和发展。
并发症_10,检查项目_15,相关,0.95,血糖检测是诊断和管理糖尿病视网膜病变的重要检查项目，通过定期监测血糖水平，可以帮助预防或延缓糖尿病视网膜病变的发展。
并发症_10,检查项目_16,相关,0.9,糖化血红蛋白检测用于评估长期血糖控制情况，是糖尿病管理的重要指标，而糖尿病视网膜病变是糖尿病的一种并发症，长期高血糖是其主要风险因素。因此，糖化血红蛋白检测结果可以间接反映糖尿病视网膜病变的风险。
并发症_10,治疗方法_17,相关,0.8,饮食控制是管理糖尿病视网膜病变的一种非直接治疗方法，通过控制血糖水平来减缓或预防病情进展。
并发症_10,治疗方法_18,相关,0.8,运动治疗可以作为糖尿病视网膜病变的辅助治疗方法，帮助控制血糖水平，从而减缓病情进展。
并发症_10,病因_19,关联,0.8,胰岛素抵抗是2型糖尿病的主要病因之一，而糖尿病视网膜病变是糖尿病的一种并发症。因此，胰岛素抵抗通过导致糖尿病，间接与糖尿病视网膜病变相关联。
并发症_11,解剖部位_14,相关,0.8,糖尿病肾病是糖尿病的一种并发症，而胰岛β细胞的功能障碍或损伤是糖尿病发生的主要原因之一。因此，糖尿病肾病与胰岛β细胞之间存在间接的相关性。
并发症_11,检查项目_15,相关,0.95,血糖检测是糖尿病肾病诊断和管理中的重要检查项目，用于监测血糖水平，帮助评估病情和控制治疗效果。
并发症_11,检查项目_16,相关,0.95,糖化血红蛋白检测用于评估长期血糖控制情况，是糖尿病肾病等糖尿病并发症管理中的重要检查项目。
并发症_11,治疗方法_17,相关,0.95,饮食控制是管理糖尿病肾病的重要治疗方法之一，通过合理的饮食控制可以减缓病情进展。
并发症_11,治疗方法_18,相关,0.85,运动治疗可以作为糖尿病肾病的一种辅助治疗方法，帮助控制血糖水平和改善肾功能。
并发症_11,病因_19,关联,0.85,胰岛素抵抗是糖尿病肾病发展的一个重要因素，因为它加剧了糖尿病的代谢异常，进而促进肾脏损伤。
并发症_12,解剖部位_14,相关,0.8,糖尿病神经病变是糖尿病的一种并发症，而胰岛β细胞的功能障碍或损伤是糖尿病发生的主要原因之一。因此，糖尿病神经病变与胰岛β细胞之间存在间接的相关性。
并发症_12,检查项目_15,相关,0.95,血糖检测是糖尿病神经病变诊断和管理中的重要检查项目，用于监测血糖水平，帮助评估病情和控制治疗效果。
并发症_12,检查项目_16,相关,0.9,糖化血红蛋白检测用于评估长期血糖控制情况，而糖尿病神经病变是糖尿病长期血糖控制不佳的并发症之一。因此，糖化血红蛋白检测结果可以间接反映糖尿病神经病变的风险或控制情况。
并发症_12,治疗方法_17,相关,0.95,饮食控制是管理糖尿病神经病变的重要方法之一，通过控制血糖水平来减缓病情进展。
并发症_12,治疗方法_18,相关,0.85,运动治疗可以作为糖尿病神经病变的一种辅助治疗方法，帮助改善症状和控制病情发展。
并发症_12,病因_19,关联,0.8,胰岛素抵抗是糖尿病的一个主要病因，而糖尿病神经病变是糖尿病的并发症之一。因此，胰岛素抵抗与糖尿病神经病变之间存在间接关联。
并发症_13,解剖部位_14,相关,0.8,糖尿病足是由于长期高血糖导致的并发症，而胰岛β细胞是胰腺中负责分泌胰岛素的细胞，胰岛素分泌不足或功能障碍是糖尿病的主要原因之一。因此，糖尿病足与胰岛β细胞的功能状态间接相关。
并发症_13,检查项目_15,相关,0.95,血糖检测是糖尿病足患者日常管理中不可或缺的一部分，用于监测血糖水平，帮助控制糖尿病，从而预防或延缓糖尿病足的发生和发展。
并发症_13,检查项目_16,关联,0.85,糖化血红蛋白检测用于评估长期血糖控制情况，是糖尿病管理中的重要指标，而糖尿病足是糖尿病的一种严重并发症。通过糖化血红蛋白检测可以间接评估糖尿病足的风险。
并发症_13,治疗方法_17,相关,0.9,饮食控制是管理糖尿病足的重要治疗方法之一，通过控制血糖水平来减缓并发症的进展。
并发症_13,治疗方法_18,相关,0.8,运动治疗可以作为糖尿病足的一种辅助治疗方法，帮助改善血液循环和血糖控制，从而减轻症状。
并发症_13,病因_19,关联,0.85,胰岛素抵抗是糖尿病的一个重要病因，而糖尿病足是糖尿病的一种严重并发症。因此，胰岛素抵抗通过促进糖尿病的发展间接增加了糖尿病足的风险。
解剖部位_14,检查项目_15,相关,0.95,胰岛β细胞负责分泌胰岛素，胰岛素是调节血糖水平的关键激素。血糖检测用于测量血液中的葡萄糖水平，间接反映胰岛β细胞的功能状态。
解剖部位_14,检查项目_16,关联,0.8,胰岛β细胞负责分泌胰岛素，调节血糖水平，而糖化血红蛋白检测反映了一段时间内的平均血糖水平，因此两者在血糖调节和监测方面存在关联。
解剖部位_14,治疗方法_17,关联,0.8,胰岛β细胞负责产生胰岛素，而饮食控制可以通过调节血糖水平间接影响胰岛β细胞的功能和健康。
解剖部位_14,治疗方法_18,关联,0.8,运动治疗可以通过改善胰岛素敏感性间接影响胰岛β细胞的功能
解剖部位_14,病因_19,关联,0.9,胰岛β细胞是产生胰岛素的细胞，而胰岛素抵抗是指身体对胰岛素的反应减弱，导致胰岛β细胞需要产生更多的胰岛素来维持血糖水平。
检查项目_15,治疗方法_17,相关,0.95,血糖检测用于监测血糖水平，而饮食控制是管理血糖水平的一种方法，两者在糖尿病等血糖相关疾病的管理中密切相关。
检查项目_15,治疗方法_18,相关,0.9,血糖检测用于监测血糖水平，而运动治疗是一种通过增加身体活动来帮助控制血糖水平的治疗方法。两者在糖尿病管理中密切相关。
检查项目_15,病因_19,关联,0.85,血糖检测可以用于评估胰岛素抵抗的情况，因为胰岛素抵抗可能导致血糖水平异常。
检查项目_16,治疗方法_17,相关,0.9,糖化血红蛋白检测用于评估长期血糖控制情况，而饮食控制是糖尿病管理中的重要治疗方法，可以帮助改善血糖水平，从而影响糖化血红蛋白的结果。
检查项目_16,治疗方法_18,关联,0.8,糖化血红蛋白检测用于评估长期血糖控制情况，而运动治疗可以帮助改善血糖控制，因此两者在糖尿病管理中有关联。
检查项目_16,病因_19,关联,0.8,糖化血红蛋白检测用于评估长期血糖控制情况，而胰岛素抵抗是导致血糖控制不佳的常见病因之一。因此，糖化血红蛋白水平异常可能间接反映胰岛素抵抗的存在。
治疗方法_17,病因_19,相关,0.9,饮食控制作为一种治疗方法，可以通过改善饮食习惯和减少高糖高脂食物的摄入来减轻胰岛素抵抗，从而有助于管理和预防与胰岛素抵抗相关的疾病。
治疗方法_18,病因_19,相关,0.9,运动治疗可以改善胰岛素抵抗，通过增加身体对胰岛素的敏感性和促进葡萄糖的利用。
